Palavra,Descoberta,Letras passadas,Tamanho,Letras diferentes,Num de letras faltando,Letras faltando,Percentual letras diferentes descobertas
amizades,"['a', '_', '_', '_', 'a', 'd', '_', 's']","['a', 'r', 's', 'o', 'v', 'd', 'l', 'f']",8,3,4,"['z', 'm', 'i', 'e']",0.5714285714285714
zuno,"['_', 'u', '_', 'o']","['a', 'o', 'i', 'e', 'u', 'r', 's']",4,2,2,"['z', 'n']",0.5
cento,"['_', 'e', 'n', 't', 'o']","['a', 'e', 's', 'r', 'i', 'o', 'n', 't', 'b']",5,4,1,['c'],0.2
folgarmo,"['_', 'o', '_', '_', 'a', 'r', 'm', 'o']","['a', 'r', 'e', 'o', 'm', 't', 's', 'b', 'c']",8,4,3,"['f', 'l', 'g']",0.42857142857142855
fundeiam,"['f', '_', '_', '_', 'e', 'i', 'a', 'm']","['a', 'r', 's', 'i', 'm', 'e', 'b', 'c', 'f', 'o']",8,5,3,"['d', 'u', 'n']",0.375
morenas,"['_', '_', 'r', 'e', '_', 'a', 's']","['a', 'r', 'i', 's', 'e', 't', 'c', 'j', 'd']",7,4,3,"['m', 'n', 'o']",0.42857142857142855
fones,"['_', 'o', '_', 'e', 's']","['a', 'e', 'm', 's', 'o', 'c', 't', 'r']",5,3,2,"['f', 'n']",0.4
algumas,"['a', 'l', '_', '_', '_', 'a', 's']","['a', 'r', 'i', 's', 'e', 'l', 'o', 'c']",7,3,3,"['u', 'm', 'g']",0.5
ninou,"['_', 'i', '_', 'o', 'u']","['a', 'e', 'o', 'u', 'i', 'm', 'f', 'c']",5,3,2,['n'],0.25
larva,"['_', 'a', 'r', '_', 'a']","['a', 'r', 'c', 'f', 'p', 'm', 'd']",5,2,2,"['l', 'v']",0.5
julgadas,"['_', '_', 'l', 'g', 'a', 'd', 'a', 's']","['a', 'r', 's', 'v', 'd', 'c', 'l', 'g', 'e', 'f']",8,5,2,"['u', 'j']",0.2857142857142857
melhore,"['_', 'e', '_', '_', '_', 'r', 'e']","['a', 'e', 'r', 'd', 'n', 'c', 'p']",7,2,4,"['l', 'm', 'h', 'o']",0.6666666666666666
palpavel,"['_', 'a', '_', '_', 'a', '_', '_', '_']","['a', 'r', 's', 'n', 'm', 'c']",8,1,6,"['l', 'v', 'p', 'e']",0.8
felicitou,"['f', 'e', 'l', 'i', 'c', 'i', 't', '_', '_']","['a', 'e', 'r', 's', 'i', 'd', 'l', 'f', 'c', 't', 'm']",9,6,2,"['u', 'o']",0.25
buzinas,"['_', '_', '_', 'i', 'n', 'a', 's']","['a', 'r', 's', 'i', 'c', 'd', 't', 'n', 'l']",7,4,3,"['z', 'b', 'u']",0.42857142857142855
duravel,"['_', '_', 'r', 'a', '_', 'e', '_']","['a', 'r', 's', 'o', 'i', 'm', 'e', 't']",7,3,4,"['d', 'u', 'v', 'l']",0.5714285714285714
vejai,"['_', '_', '_', 'a', 'i']","['a', 's', 'r', 'i', 'c', 'l', 't']",5,2,3,"['v', 'j', 'e']",0.6
namores,"['n', 'a', '_', '_', 'r', 'e', 's']","['a', 's', 'e', 'r', 'c', 'v', 'b', 't', 'n', 'd']",7,5,2,"['m', 'o']",0.2857142857142857
espeto,"['e', '_', '_', 'e', '_', 'o']","['a', 'e', 'o', 'n', 'c', 'r', 'b']",6,2,3,"['s', 'p', 't']",0.6
firmasseis,"['f', 'i', '_', '_', 'a', 's', 's', 'e', 'i', 's']","['a', 's', 'i', 'e', 'c', 'v', 'g', 't', 'f', 'l']",10,5,2,"['r', 'm']",0.2857142857142857
ativados,"['a', 't', '_', '_', 'a', 'd', 'o', 's']","['a', 'r', 's', 'o', 'm', 'd', 'l', 'b', 't', 'c']",8,5,2,"['v', 'i']",0.2857142857142857
falassemos,"['_', 'a', '_', 'a', 's', 's', 'e', 'm', 'o', 's']","['a', 's', 'm', 'e', 'o', 'c', 'r', 'n', 't', 'v']",10,5,2,"['f', 'l']",0.2857142857142857
buscando,"['_', '_', 's', 'c', 'a', 'n', 'd', 'o']","['a', 'r', 's', 'e', 'o', 'n', 'd', 't', 'c', 'i', 'm']",8,6,2,"['b', 'u']",0.25
inovaramos,"['_', '_', 'o', '_', 'a', 'r', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'c', 'l', 't', 'f', 'p']",10,5,3,"['v', 'i', 'n']",0.375
pista,"['_', 'i', 's', 't', 'a']","['a', 'r', 'i', 'n', 's', 't', 'v', 'd', 'l']",5,4,1,['p'],0.2
teologas,"['_', 'e', '_', '_', '_', '_', 'a', 's']","['a', 'r', 's', 'i', 'e', 'd', 'n', 'v']",8,3,5,"['l', 't', 'g', 'o']",0.5714285714285714
agulhaveis,"['a', '_', '_', 'l', '_', 'a', 'v', 'e', 'i', 's']","['a', 's', 'r', 'e', 'i', 'v', 'l', 't', 'm', 'p', 'f']",10,6,3,"['u', 'h', 'g']",0.3333333333333333
espancando,"['e', 's', '_', 'a', 'n', '_', 'a', 'n', 'd', 'o']","['a', 'r', 's', 'e', 't', 'l', 'v', 'n', 'd', 'o', 'b']",10,6,2,"['c', 'p']",0.25
abundava,"['a', '_', '_', '_', '_', 'a', 'v', 'a']","['a', 'r', 'v', 'i', 't', 'l', 's']",8,2,4,"['d', 'b', 'u', 'n']",0.6666666666666666
pesquei,"['_', 'e', 's', '_', '_', 'e', 'i']","['a', 'e', 'r', 's', 'd', 'i', 'h', 'm']",7,3,3,"['u', 'q', 'p']",0.5
punir,"['_', 'u', '_', 'i', 'r']","['a', 'e', 'o', 'i', 'u', 's', 'r', 'g']",5,3,2,"['p', 'n']",0.4
campea,"['c', 'a', '_', '_', 'e', 'a']","['a', 'r', 'c', 'l', 'v', 'n', 'e', 'h']",6,3,2,"['m', 'p']",0.4
lograis,"['_', 'o', '_', 'r', 'a', 'i', 's']","['a', 'o', 'r', 'd', 's', 'i', 'b', 'f', 'c', 'h']",7,5,2,"['l', 'g']",0.2857142857142857
refutaremo,"['r', 'e', '_', '_', '_', 'a', 'r', 'e', 'm', 'o']","['a', 's', 'r', 'e', 'o', 'm', 'l', 'i', 'c', 'g']",10,5,3,"['f', 'u', 't']",0.375
coando,"['c', 'o', 'a', '_', '_', 'o']","['a', 'r', 's', 'i', 'm', 'o', 'c', 'l']",6,3,2,"['d', 'n']",0.4
fuje,"['_', 'u', '_', 'e']","['a', 'o', 'e', 'i', 'u', 'r', 'm']",4,2,2,"['f', 'j']",0.5
lotarem,"['_', 'o', 't', 'a', 'r', 'e', 'm']","['a', 'r', 'e', 'i', 's', 'm', 'o', 't', 'b', 'c', 'd']",7,6,1,['l'],0.14285714285714285
recebeis,"['r', 'e', '_', 'e', '_', 'e', 'i', 's']","['a', 'e', 'r', 'm', 's', 'i', 'l', 't', 'v']",8,4,2,"['b', 'c']",0.3333333333333333
cenico,"['_', 'e', '_', '_', '_', 'o']","['a', 'e', 'r', 's', 'o', 'd', 'm']",6,2,4,"['c', 'i', 'n']",0.6
selara,"['_', 'e', 'l', 'a', 'r', 'a']","['a', 'r', 'c', 'i', 'e', 'l', 'g', 'm', 'p']",6,4,1,['s'],0.2
habituas,"['_', 'a', '_', '_', '_', '_', 'a', 's']","['a', 'r', 's', 'c', 'l', 'n', 'v']",8,2,5,"['t', 'b', 'u', 'i', 'h']",0.7142857142857143
cobicem,"['_', '_', '_', 'i', '_', 'e', 'm']","['a', 'e', 'i', 'r', 'm', 't', 'd', 'u']",7,3,4,"['b', 'c', 'o']",0.5
nevais,"['_', 'e', '_', 'a', 'i', 's']","['a', 'o', 'i', 's', 'e', 'l', 'c', 'r', 'd']",6,4,2,"['v', 'n']",0.3333333333333333
reformules,"['r', 'e', 'f', '_', 'r', '_', '_', '_', 'e', 's']","['a', 'e', 'r', 's', 't', 'f', 'd', 'i', 'v']",10,4,4,"['l', 'm', 'u', 'o']",0.5
foz,"['_', 'o', '_']","['a', 'o', 's', 'm', 'r', 'e']",3,1,2,"['f', 'z']",0.6666666666666666
golpeiam,"['_', '_', '_', '_', 'e', 'i', 'a', 'm']","['a', 'r', 's', 'i', 'm', 'e', 'b', 'c', 'f']",8,4,4,"['l', 'p', 'o', 'g']",0.5
toques,"['t', 'o', '_', '_', 'e', 's']","['a', 'e', 's', 'r', 'i', 'o', 't', 'l', 'm']",6,4,2,"['u', 'q']",0.3333333333333333
babarei,"['_', 'a', '_', 'a', 'r', 'e', 'i']","['a', 's', 'r', 'm', 'i', 'e', 'c', 'p', 'v']",7,4,2,['b'],0.2
foquei,"['_', 'o', '_', '_', 'e', 'i']","['a', 'e', 's', 'i', 'r', 'o', 'l', 'b']",6,3,3,"['f', 'u', 'q']",0.5
lixavam,"['l', 'i', '_', 'a', 'v', 'a', 'm']","['a', 'r', 's', 'm', 'v', 'c', 'i', 'l', 'd', 'g']",7,5,1,['x'],0.16666666666666666
beijado,"['_', '_', 'i', '_', 'a', 'd', 'o']","['a', 'o', 'm', 'd', 'r', 'i', 't', 'l', 'x']",7,4,3,"['b', 'j', 'e']",0.42857142857142855
embolai,"['e', 'm', 'b', 'o', '_', 'a', 'i']","['a', 'r', 's', 'i', 'e', 'n', 'm', 'p', 'b', 'o', 'c']",7,6,1,['l'],0.14285714285714285
chutam,"['_', '_', '_', '_', 'a', 'm']","['a', 's', 'r', 'i', 'm', 'l', 'n']",6,2,4,"['u', 'c', 't', 'h']",0.6666666666666666
celtico,"['_', 'e', '_', '_', '_', '_', 'o']","['a', 'e', 'r', 's', 'd', 'o', 'n']",7,2,5,"['l', 'c', 't', 'i']",0.6666666666666666
chupado,"['_', '_', 'u', '_', 'a', 'd', 'o']","['a', 'o', 'm', 'd', 'r', 'i', 'e', 'u', 'l']",7,4,3,"['c', 'p', 'h']",0.42857142857142855
votarieis,"['_', 'o', 't', 'a', 'r', 'i', 'e', 'i', 's']","['a', 'e', 's', 'i', 'r', 'o', 't', 'b', 'c', 'd', 'l', 'n']",9,7,1,['v'],0.125
panama,"['_', 'a', '_', 'a', '_', 'a']","['a', 'r', 'v', 'c', 'd', 't']",6,1,3,"['m', 'p', 'n']",0.75
empalou,"['e', 'm', 'p', 'a', 'l', '_', '_']","['a', 'r', 's', 'n', 'm', 'e', 'p', 'l', 'h', 'i']",7,5,2,"['u', 'o']",0.2857142857142857
utah,"['_', '_', 'a', '_']","['a', 's', 'r', 'i', 'o', 'l']",4,1,3,"['u', 't', 'h']",0.75
campeias,"['c', 'a', '_', '_', '_', '_', 'a', 's']","['a', 'r', 's', 'c', 'n', 'l', 't', 'v']",8,3,4,"['m', 'p', 'i', 'e']",0.5714285714285714
alado,"['a', '_', 'a', '_', 'o']","['a', 'o', 'm', 'b', 'r', 'c', 'g']",5,2,2,"['l', 'd']",0.5
bodegas,"['_', '_', '_', 'e', '_', 'a', 's']","['a', 'r', 's', 'i', 'e', 'c', 'l', 't']",7,3,4,"['d', 'b', 'g', 'o']",0.5714285714285714
paginarao,"['_', 'a', '_', '_', '_', 'a', 'r', 'a', 'o']","['a', 'r', 'm', 's', 'o', 'b', 'c', 'e']",9,3,4,"['p', 'i', 'n', 'g']",0.5714285714285714
sufixarao,"['_', '_', '_', 'i', '_', 'a', 'r', 'a', 'o']","['a', 'r', 'e', 'o', 'i', 't', 'c', 'b', 'd']",9,4,4,"['f', 'u', 's', 'x']",0.5
nescio,"['_', 'e', 's', '_', '_', 'o']","['a', 'e', 'r', 's', 'd', 't', 'o', 'l']",6,3,3,"['c', 'i', 'n']",0.5
salvas,"['s', 'a', 'l', '_', 'a', 's']","['a', 's', 'i', 'r', 'l', 'd', 'g', 't']",6,3,1,['v'],0.25
curvo,"['_', 'u', 'r', '_', 'o']","['a', 'e', 'o', 'i', 'r', 'u', 't', 's']",5,3,2,"['c', 'v']",0.4
canape,"['c', 'a', '_', 'a', '_', '_']","['a', 'c', 'o', 's', 'v', 'r', 'd']",6,2,3,"['p', 'n', 'e']",0.6
fundaste,"['_', 'u', 'n', 'd', 'a', 's', 't', 'e']","['a', 'r', 's', 'e', 't', 'i', 'l', 'n', 'c', 'd', 'u', 'b']",8,7,1,['f'],0.125
jaguar,"['_', 'a', '_', '_', 'a', 'r']","['a', 's', 'r', 't', 'l', 'n', 'i']",6,2,3,"['u', 'j', 'g']",0.6
ajudaveis,"['a', '_', '_', '_', 'a', 'v', 'e', 'i', 's']","['a', 's', 'e', 'i', 'r', 'v', 'l', 't', 'f', 'n']",9,5,3,"['d', 'u', 'j']",0.375
amputo,"['a', '_', '_', '_', '_', 'o']","['a', 'e', 'o', 'r', 'i', 's', 'l']",6,2,4,"['m', 't', 'p', 'u']",0.6666666666666666
ensaboaria,"['e', 'n', '_', 'a', '_', '_', 'a', 'r', 'i', 'a']","['a', 'r', 'i', 'e', 'n', 'c', 'g', 'f', 'l', 'z']",10,5,3,"['b', 's', 'o']",0.375
revogariam,"['r', 'e', 'v', '_', '_', 'a', 'r', 'i', 'a', 'm']","['a', 'r', 'e', 'i', 's', 'm', 'l', 't', 'c', 'v', 'z']",10,6,2,"['g', 'o']",0.25
dependem,"['d', 'e', 'p', 'e', 'n', 'd', 'e', '_']","['a', 'e', 's', 'r', 'd', 'n', 'f', 'p', 'i']",8,4,1,['m'],0.2
roge,"['_', 'o', '_', 'e']","['a', 'o', 'e', 'c', 'm', 's', 't']",4,2,2,"['r', 'g']",0.5
tarjada,"['_', 'a', 'r', '_', 'a', 'd', 'a']","['a', 'r', 'v', 'd', 'c', 'f', 'b', 'l']",7,3,2,"['t', 'j']",0.4
equipasse,"['e', '_', '_', '_', '_', 'a', 's', 's', 'e']","['a', 'r', 's', 'e', 'n', 'c', 't', 'm']",9,3,4,"['u', 'q', 'p', 'i']",0.5714285714285714
matutando,"['_', 'a', '_', '_', '_', 'a', 'n', 'd', 'o']","['a', 'r', 's', 'n', 'd', 'o', 'c', 'b', 'i']",9,4,4,"['m', 't', 'u']",0.42857142857142855
puxamos,"['_', 'u', '_', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'i', 'e', 'c', 'u', 'l']",7,5,2,"['p', 'x']",0.2857142857142857
lagunas,"['l', 'a', '_', '_', '_', 'a', 's']","['a', 's', 'r', 'c', 't', 'l', 'i', 'v']",7,3,3,"['u', 'n', 'g']",0.5
durma,"['_', 'u', 'r', '_', 'a']","['a', 'r', 'e', 'o', 'i', 'u', 't', 's']",5,3,2,"['d', 'm']",0.4
drene,"['_', 'r', 'e', '_', 'e']","['a', 'e', 'r', 'p', 'f', 'v', 'c']",5,2,2,"['d', 'n']",0.5
solo,"['_', 'o', '_', 'o']","['a', 'o', 'c', 't', 'r', 'd']",4,1,2,"['l', 's']",0.6666666666666666
fichai,"['_', 'i', '_', '_', 'a', 'i']","['a', 's', 'r', 'i', 'n', 'v', 'l']",6,2,3,"['f', 'c', 'h']",0.6
comungasses,"['c', '_', '_', '_', 'n', 'g', 'a', 's', 's', 'e', 's']","['a', 's', 'e', 'r', 'i', 'n', 't', 'd', 'c', 'g', 'p']",11,6,3,"['m', 'u', 'o']",0.3333333333333333
abunde,"['a', '_', '_', '_', '_', 'e']","['a', 'e', 'r', 'i', 't', 'l', 's']",6,2,4,"['d', 'b', 'u', 'n']",0.6666666666666666
anotara,"['a', '_', 'o', '_', 'a', 'r', 'a']","['a', 'r', 'i', 'l', 'u', 'o', 'f', 'd']",7,3,2,"['t', 'n']",0.4
caviares,"['c', 'a', '_', '_', 'a', 'r', 'e', 's']","['a', 'r', 's', 'e', 'l', 't', 'n', 'c', 'o', 'u']",8,5,2,"['v', 'i']",0.2857142857142857
lancham,"['l', 'a', '_', '_', '_', 'a', 'm']","['a', 's', 'r', 'm', 'v', 'i', 'l', 't']",7,3,3,"['c', 'h', 'n']",0.5
majoreis,"['_', 'a', '_', '_', 'r', 'e', 'i', 's']","['a', 's', 'r', 'i', 'e', 'c', 't', 'n', 'v', 'b']",8,5,3,"['m', 'j', 'o']",0.375
andem,"['a', '_', '_', 'e', 'm']","['a', 'e', 's', 'i', 'r', 'm', 'u', 'c']",5,3,2,"['d', 'n']",0.4
fumando,"['_', '_', '_', 'a', 'n', 'd', 'o']","['a', 'r', 's', 'n', 'o', 'd', 'c', 'i', 'e']",7,4,3,"['f', 'u', 'm']",0.42857142857142855
fundarmo,"['_', '_', '_', '_', 'a', 'r', 'm', 'o']","['a', 'r', 'e', 'o', 'm', 'i', 'c', 't', 'l']",8,4,4,"['f', 'u', 'd', 'n']",0.5
lambuzou,"['_', 'a', '_', '_', '_', '_', '_', '_']","['a', 's', 'r', 'i', 'e', 'c']",8,1,7,"['z', 'u', 'b', 'o', 'l', 'm']",0.8571428571428571
deputavamos,"['d', 'e', '_', '_', 't', 'a', 'v', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'v', 'e', 'd', 't', 'b', 'c', 'l', 'n']",11,8,2,"['u', 'p']",0.2
teso,"['_', 'e', '_', 'o']","['a', 'o', 'i', 'e', 'm', 'l', 'n']",4,2,2,"['s', 't']",0.5
repiqueis,"['r', 'e', '_', 'i', '_', 'u', 'e', 'i', 's']","['a', 'e', 'i', 's', 'r', 'v', 'd', 'n', 'u', 'l']",9,5,2,"['q', 'p']",0.2857142857142857
vetaras,"['_', 'e', '_', 'a', 'r', 'a', 's']","['a', 'r', 'o', 's', 'i', 'e', 'l', 'p', 'g']",7,4,2,"['v', 't']",0.3333333333333333
repuxei,"['r', 'e', '_', '_', '_', 'e', 'i']","['a', 'e', 'r', 'i', 't', 'v', 'c', 'l']",7,3,3,"['u', 'p', 'x']",0.5
mofava,"['_', 'o', '_', 'a', 'v', 'a']","['a', 'r', 'v', 'c', 'i', 'o', 't', 's']",6,3,2,"['f', 'm']",0.4
cruzaras,"['_', 'r', '_', '_', 'a', 'r', 'a', 's']","['a', 'r', 'o', 'm', 's', 'e', 'i', 't']",8,3,3,"['z', 'u', 'c']",0.5
moscarei,"['_', 'o', '_', '_', 'a', 'r', 'e', 'i']","['a', 'r', 'e', 'i', 'o', 't', 'b', 'n', 'p', 'l']",8,5,3,"['m', 's', 'c']",0.375
aponte,"['a', '_', '_', 'n', 't', 'e']","['a', 'e', 'r', 'i', 't', 'n', 'v', 'g', 'j']",6,4,2,"['p', 'o']",0.3333333333333333
papasse,"['_', 'a', '_', 'a', 's', 's', 'e']","['a', 's', 'e', 'c', 'r', 'n', 't', 'v']",7,3,2,['p'],0.25
pajeara,"['_', 'a', '_', '_', 'a', 'r', 'a']","['a', 'r', 'c', 't', 's', 'l', 'n']",7,2,3,"['p', 'j', 'e']",0.6
lidei,"['_', 'i', '_', 'e', 'i']","['a', 'e', 'm', 's', 'i', 'r', 'f']",5,2,2,"['l', 'd']",0.5
maximizes,"['_', 'a', '_', '_', '_', '_', '_', 'e', 's']","['a', 's', 'r', 'e', 't', 'c', 'l', 'n']",9,3,6,"['z', 'm', 'i', 'x']",0.5714285714285714
ducados,"['d', '_', '_', 'a', 'd', 'o', 's']","['a', 'r', 's', 'o', 'm', 'd', 't', 'e', 'p']",7,4,2,"['u', 'c']",0.3333333333333333
boxeia,"['_', '_', '_', 'e', 'i', 'a']","['a', 'r', 'i', 'e', 't', 'd', 's', 'l']",6,3,3,"['b', 'x', 'o']",0.5
devolvo,"['d', 'e', '_', 'o', '_', '_', 'o']","['a', 'e', 'r', 's', 'd', 'o', 'n', 'c']",7,3,3,"['l', 'v']",0.4
banharemo,"['_', 'a', 'n', '_', 'a', 'r', 'e', 'm', 'o']","['a', 's', 'r', 'm', 'e', 'o', 't', 'l', 'n', 'c', 'z']",9,6,2,"['b', 'h']",0.25
queixares,"['_', '_', 'e', 'i', '_', 'a', 'r', 'e', 's']","['a', 'r', 'e', 'i', 't', 'm', 's', 'j', 'b', 'c']",9,5,3,"['u', 'q', 'x']",0.375
manjaveis,"['m', 'a', 'n', '_', 'a', 'v', 'e', 'i', 's']","['a', 's', 'r', 'e', 'i', 'v', 'c', 't', 'l', 'n', 'm', 'd']",9,7,1,['j'],0.125
pulariam,"['_', 'u', '_', 'a', 'r', 'i', 'a', 'm']","['a', 'r', 'i', 's', 'm', 'c', 'o', 'e', 'u', 'f']",8,5,2,"['l', 'p']",0.2857142857142857
bonito,"['_', 'o', '_', 'i', '_', 'o']","['a', 'e', 'o', 'i', 'c', 'd', 'v']",6,2,3,"['b', 't', 'n']",0.6
agulhavas,"['a', '_', '_', 'l', '_', 'a', 'v', 'a', 's']","['a', 'r', 's', 'v', 'i', 't', 'l', 'm', 'p']",9,4,3,"['u', 'h', 'g']",0.42857142857142855
trabalheis,"['t', 'r', 'a', '_', 'a', '_', '_', 'e', 'i', 's']","['a', 's', 'r', 'm', 'i', 'e', 't', 'c', 'g', 'j', 'v']",10,6,3,"['l', 'b', 'h']",0.3333333333333333
pesado,"['_', 'e', '_', 'a', 'd', 'o']","['a', 'o', 'm', 'd', 'c', 'r', 'i', 'e', 'l']",6,4,2,"['s', 'p']",0.3333333333333333
agucasseis,"['a', '_', '_', '_', 'a', 's', 's', 'e', 'i', 's']","['a', 's', 'i', 'e', 'l', 't', 'r', 'f', 'n']",10,4,3,"['u', 'c', 'g']",0.42857142857142855
boiasse,"['_', '_', 'i', 'a', 's', 's', 'e']","['a', 'r', 's', 'e', 'c', 'i', 'd', 'v', 'f']",7,4,2,"['b', 'o']",0.3333333333333333
furtados,"['f', '_', 'r', '_', 'a', 'd', 'o', 's']","['a', 'r', 'o', 's', 'm', 'd', 'e', 'c', 'b', 'f', 'p']",8,6,2,"['u', 't']",0.25
debulhavamos,"['d', 'e', '_', '_', '_', '_', 'a', 'v', 'a', 'm', 'o', 's']","['a', 's', 'o', 'm', 'r', 'v', 'e', 'd', 'i', 't', 'n', 'c']",12,7,4,"['l', 'b', 'h', 'u']",0.36363636363636365
felinos,"['_', 'e', '_', 'i', 'n', 'o', 's']","['a', 'e', 'r', 's', 'i', 'd', 'o', 'c', 'n', 'p']",7,5,2,"['f', 'l']",0.2857142857142857
puxaramos,"['_', 'u', '_', 'a', 'r', 'a', 'm', 'o', 's']","['a', 's', 'o', 'm', 'r', 'c', 'i', 'e', 'u', 'f', 'd']",9,6,2,"['p', 'x']",0.25
vulcao,"['_', 'u', '_', 'c', 'a', 'o']","['a', 's', 'r', 'i', 'm', 'o', 'c', 'u', 'n']",6,4,2,"['l', 'v']",0.3333333333333333
alonguei,"['a', '_', 'o', '_', '_', '_', '_', '_']","['a', 'r', 's', 'o', 'm', 'd', 'c']",8,2,6,"['n', 'g', 'l', 'u', 'i', 'e']",0.75
ajeito,"['a', '_', 'e', 'i', 't', 'o']","['a', 'e', 'r', 'n', 's', 'i', 't', 'o', 'c', 'f']",6,5,1,['j'],0.16666666666666666
pugilatos,"['_', '_', '_', '_', '_', 'a', '_', 'o', 's']","['a', 'r', 's', 'o', 'm', 'd', 'n', 'c']",9,3,6,"['t', 'g', 'l', 'u', 'p', 'i']",0.6666666666666666
tatuam,"['_', 'a', '_', '_', 'a', 'm']","['a', 's', 'r', 'i', 'm', 'n', 'l']",6,2,3,"['u', 't']",0.5
peite,"['_', 'e', 'i', 't', 'e']","['a', 'e', 'r', 't', 'n', 's', 'i', 'd']",5,3,1,['p'],0.25
urinardes,"['_', 'r', 'i', '_', 'a', 'r', 'd', 'e', 's']","['a', 's', 'e', 'r', 'd', 't', 'i', 'g', 'c', 'p', 'f']",9,6,2,"['u', 'n']",0.25
ganir,"['_', 'a', '_', '_', 'r']","['a', 's', 'r', 'l', 'p', 'c', 'v']",5,2,3,"['i', 'n', 'g']",0.6
vaquinhas,"['_', 'a', '_', '_', 'i', 'n', 'h', 'a', 's']","['a', 'r', 's', 'i', 'n', 'h', 'm', 'c', 't', 'l']",9,5,3,"['u', 'v', 'q']",0.375
lixaras,"['l', 'i', '_', 'a', 'r', 'a', 's']","['a', 'r', 'o', 's', 'i', 'm', 'f', 'c', 'l', 'd']",7,5,1,['x'],0.16666666666666666
manjuba,"['_', 'a', 'n', '_', '_', '_', 'a']","['a', 'r', 'c', 'l', 'n', 'd', 'v']",7,2,4,"['m', 'b', 'j', 'u']",0.6666666666666666
quebrar,"['_', '_', 'e', '_', 'r', 'a', 'r']","['a', 'r', 'e', 'i', 'f', 'l', 't', 'x']",7,3,3,"['u', 'q', 'b']",0.5
atos,"['a', '_', 'o', 's']","['a', 'r', 's', 'i', 'o', 'm', 'n', 'p']",4,3,1,['t'],0.25
chupar,"['_', '_', 'u', '_', 'a', 'r']","['a', 's', 'r', 'i', 'e', 'o', 'u', 'l']",6,3,3,"['c', 'p', 'h']",0.5
maus,"['_', 'a', '_', '_']","['a', 'o', 'e', 'i', 'c', 'r']",4,1,3,"['m', 's', 'u']",0.75
manha,"['m', 'a', 'n', '_', 'a']","['a', 'r', 'c', 'l', 'n', 't', 'm', 'd']",5,3,1,['h'],0.25
luzissemos,"['_', 'u', '_', 'i', 's', 's', 'e', 'm', 'o', 's']","['a', 'e', 'o', 's', 'm', 'i', 'u', 'g', 'n', 'b', 'f']",10,6,2,"['l', 'z']",0.25
resultado,"['r', 'e', 's', '_', '_', 't', 'a', 'd', 'o']","['a', 'r', 'e', 'o', 'm', 'd', 't', 'c', 'n', 'i', 's', 'g']",9,7,2,"['l', 'u']",0.2222222222222222
penis,"['_', 'e', '_', '_', 's']","['a', 'e', 's', 'o', 'r', 'd', 'l']",5,2,3,"['p', 'i', 'n']",0.6
banharemo,"['_', 'a', 'n', '_', 'a', 'r', 'e', 'm', 'o']","['a', 's', 'r', 'm', 'e', 'o', 't', 'l', 'n', 'c', 'z']",9,6,2,"['b', 'h']",0.25
sazona,"['_', 'a', '_', '_', 'n', 'a']","['a', 'r', 'c', 't', 'l', 'n', 'i']",6,2,3,"['z', 's', 'o']",0.6
caju,"['c', 'a', '_', '_']","['a', 'o', 'e', 'i', 'c', 'd', 'g']",4,2,2,"['u', 'j']",0.5
negamos,"['_', 'e', '_', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'i', 'e', 'l', 'c', 'v']",7,5,2,"['n', 'g']",0.2857142857142857
chuleio,"['_', '_', '_', '_', 'e', '_', 'o']","['a', 'e', 'o', 'm', 'r', 'n', 's']",7,2,5,"['l', 'u', 'c', 'i', 'h']",0.7142857142857143
pulularas,"['_', 'u', '_', 'u', '_', 'a', 'r', 'a', 's']","['a', 'r', 'e', 'o', 'm', 's', 'i', 'u', 'c']",9,4,3,"['l', 'p']",0.3333333333333333
fundearia,"['f', '_', '_', '_', 'e', 'a', 'r', 'i', 'a']","['a', 'r', 'i', 'e', 't', 'b', 'c', 'f', 'l', 's']",9,5,3,"['d', 'u', 'n']",0.375
faculta,"['_', 'a', 'c', '_', '_', '_', 'a']","['a', 'r', 'c', 'h', 'i', 'm', 'e']",7,2,4,"['f', 'u', 't', 'l']",0.6666666666666666
jazerao,"['_', 'a', '_', '_', 'r', 'a', 'o']","['a', 's', 'r', 'm', 'o', 'c', 'i', 'v']",7,3,3,"['z', 'j', 'e']",0.5
pudica,"['_', 'u', 'd', 'i', 'c', 'a']","['a', 'r', 'i', 'c', 'o', 't', 'd', 'e', 'u', 'l']",6,5,1,['p'],0.16666666666666666
arques,"['a', 'r', '_', '_', 'e', 's']","['a', 'e', 'i', 's', 'r', 'b', 'm', 'j', 'p']",6,4,2,"['u', 'q']",0.3333333333333333
jazerias,"['_', 'a', '_', '_', 'r', 'i', 'a', 's']","['a', 'r', 'i', 's', 'c', 'l', 'n', 'p', 'v']",8,4,3,"['z', 'j', 'e']",0.42857142857142855
lata,"['_', 'a', 't', 'a']","['a', 'c', 'r', 'g', 't', 's', 'b']",4,2,1,['l'],0.3333333333333333
folhea,"['_', '_', '_', '_', 'e', 'a']","['a', 'r', 'i', 'e', 's', 'c', 'b']",6,2,4,"['f', 'l', 'h', 'o']",0.6666666666666666
